,DATASOURCE,DAYOFSERVICE,TRIPID,LINEID,ROUTEID,DIRECTION,PLANNEDTIME_ARR,PLANNEDTIME_DEP,ACTUALTIME_ARR,ACTUALTIME_DEP,BASIN,TENDERLOT,SUPPRESSED,JUSTIFICATIONID,LASTUPDATE,NOTE
18,DB,07-FEB-18 00:00:00,6246028,39A,39A_40,1,49276,44400,50038.0,44382.0,BasDef,,,,28-FEB-18 12:05:11,",2416632,"
19,DB,07-FEB-18 00:00:00,6261203,39A,39A_43,2,39535,34800,40249.0,34984.0,BasDef,,,,28-FEB-18 12:05:11,",2429602,"
32,DB,07-FEB-18 00:00:00,6251013,39A,39A_40,1,71287,66600,72534.0,66602.0,BasDef,,,,28-FEB-18 12:05:11,",2426544,"
512,DB,26-JUN-18 00:00:00,7104333,39A,39A_43,2,40074,35400,40759.0,35333.0,BasDef,,,,04-JUL-18 12:21:00,",2417276,"
513,DB,26-JUN-18 00:00:00,7104336,39A,39A_40,1,58316,53400,58367.0,53393.0,BasDef,,,,04-JUL-18 12:21:00,",2417280,"
519,DB,26-JUN-18 00:00:00,7104502,39A,39A_40,1,69364,64800,70290.0,64780.0,BasDef,,,,04-JUL-18 12:21:00,",2425933,"
562,DB,26-JUN-18 00:00:00,7103541,39A,39A_40,1,62599,57000,62629.0,56996.0,BasDef,,,,04-JUL-18 12:21:00,",2416635,"
589,DB,21-JUN-18 00:00:00,7019456,39A,39A_40,1,58421,53400,59566.0,53408.0,BasDef,,,,29-JUN-18 15:43:00,",2417280,"
590,DB,21-JUN-18 00:00:00,7019457,39A,39A_40,1,31956,27600,32831.0,27596.0,BasDef,,,,29-JUN-18 15:43:00,",2417708,"
671,DB,26-JUN-18 00:00:00,7107889,39A,39A_43,2,44833,40200,44917.0,40175.0,BasDef,,,,04-JUL-18 12:21:00,",2419461,"
672,DB,26-JUN-18 00:00:00,7107894,39A,39A_40,1,76208,72000,77017.0,72003.0,BasDef,,,,04-JUL-18 12:21:00,",2416704,"
