,DATE,temp,feels_like,temp_min,temp_max,pressure,humidity,Clear,Clouds,Drizzle,Fog,Mist,Rain,Smoke,Snow,DATES
0,2018-01-01 00:00:00,4.15,-6.49,3.84,5.79,990,87,0,0,0,0,0,1,0,0,2018-01-01 00:00:00
1,2018-01-01 01:00:00,4.14,-5.79,3.65,5.86,991,87,0,0,0,0,0,1,0,0,2018-01-01 01:00:00
2,2018-01-01 02:00:00,4.61,-5.77,3.85,5.99,990,81,0,1,0,0,0,0,0,0,2018-01-01 02:00:00
3,2018-01-01 03:00:00,4.64,-5.73,4.0,6.14,990,81,0,1,0,0,0,0,0,0,2018-01-01 03:00:00
4,2018-01-01 04:00:00,5.04,-4.91,4.11,6.22,990,81,0,1,0,0,0,0,0,0,2018-01-01 04:00:00
5,2018-01-01 05:00:00,5.0,-3.15,3.78,6.07,990,81,0,1,0,0,0,0,0,0,2018-01-01 05:00:00
6,2018-01-01 06:00:00,4.57,-2.21,3.42,5.9,990,81,0,1,0,0,0,0,0,0,2018-01-01 06:00:00
7,2018-01-01 07:00:00,4.11,-1.5,3.25,5.84,991,87,0,1,0,0,0,0,0,0,2018-01-01 07:00:00
8,2018-01-01 08:00:00,4.05,-2.29,3.39,5.35,991,87,0,1,0,0,0,0,0,0,2018-01-01 08:00:00
9,2018-01-01 09:00:00,4.08,-2.98,3.55,5.47,992,87,0,1,0,0,0,0,0,0,2018-01-01 09:00:00
10,2018-01-01 10:00:00,5.02,-3.49,4.49,5.84,992,81,0,1,0,0,0,0,0,0,2018-01-01 10:00:00
11,2018-01-01 11:00:00,6.01,-4.14,5.64,6.56,994,81,0,1,0,0,0,0,0,0,2018-01-01 11:00:00
12,2018-01-01 12:00:00,7.01,-3.12,6.71,7.4,994,76,0,1,0,0,0,0,0,0,2018-01-01 12:00:00
13,2018-01-01 13:00:00,7.43,-2.82,6.78,8.0,996,81,0,0,0,0,0,1,0,0,2018-01-01 13:00:00
14,2018-01-01 14:00:00,6.65,-3.38,6.0,7.89,998,81,0,1,0,0,0,0,0,0,2018-01-01 14:00:00
15,2018-01-01 15:00:00,6.63,-2.85,6.0,7.87,999,87,0,0,0,0,0,1,0,0,2018-01-01 15:00:00
16,2018-01-01 16:00:00,6.18,-2.85,6.0,7.62,1001,81,0,1,0,0,0,0,0,0,2018-01-01 16:00:00
17,2018-01-01 17:00:00,5.66,-2.38,5.0,7.29,1003,81,0,1,0,0,0,0,0,0,2018-01-01 17:00:00
18,2018-01-01 18:00:00,5.22,-0.92,5.0,7.0,1004,87,0,1,0,0,0,0,0,0,2018-01-01 18:00:00
19,2018-01-01 19:00:00,5.18,-2.05,5.0,6.85,1006,87,0,1,0,0,0,0,0,0,2018-01-01 19:00:00
